Graph Type,Graph Size,Model,Accuracy (%),Execution Time (s)
undirected,10,GCN,100.0,1.8639147281646729
undirected,10,Chebyshev GCN,100.0,0.7830076217651367
undirected,10,GNN,100.0,0.6139976978302002
undirected,10,GAT,100.0,2.095005750656128
undirected,30,GCN,100.0,0.6690001487731934
undirected,30,Chebyshev GCN,100.0,0.8309955596923828
undirected,30,GNN,100.0,0.7629978656768799
undirected,30,GAT,66.66666666666666,2.731114149093628
undirected,50,GCN,100.0,1.0020055770874023
undirected,50,Chebyshev GCN,100.0,0.9830019474029541
undirected,50,GNN,100.0,0.9590003490447998
undirected,50,GAT,100.0,3.34600567817688
undirected,100,GCN,100.0,1.2969975471496582
undirected,100,Chebyshev GCN,100.0,1.2480018138885498
undirected,100,GNN,100.0,1.0860002040863037
undirected,100,GAT,100.0,11.64961862564087
directed,10,GCN,100.0,0.6349990367889404
directed,10,Chebyshev GCN,100.0,0.7760007381439209
directed,10,GNN,100.0,0.645998477935791
directed,10,GAT,100.0,1.464996337890625
directed,30,GCN,66.66666666666666,0.9589991569519043
directed,30,Chebyshev GCN,66.66666666666666,0.9880003929138184
directed,30,GNN,66.66666666666666,0.970989465713501
directed,30,GAT,100.0,2.538994550704956
directed,50,GCN,33.33333333333333,0.905977725982666
directed,50,Chebyshev GCN,66.66666666666666,0.9870007038116455
directed,50,GNN,33.33333333333333,0.6709990501403809
directed,50,GAT,100.0,3.2218751907348633
directed,100,GCN,66.66666666666666,1.1429975032806396
directed,100,Chebyshev GCN,66.66666666666666,1.0390019416809082
directed,100,GNN,66.66666666666666,1.4180021286010742
directed,100,GAT,100.0,8.033449649810791
